,state,city,site,site_name,year,pm25,pm10,so2,co,no2,ozone
18,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",2019,113.23288114401134,,14.68985140319157,0.8295501916818574,27.486085974582483,31.988256004909285
19,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",2020,74.49364337165882,,10.897761734985759,0.7733552162394954,27.255635330724157,34.57481770990674
20,Delhi,Delhi,site_116,"East Arjun Nagar, Delhi - CPCB",2019,,,9.715545324680553,,56.40145739274227,33.84451253640407
21,Delhi,Delhi,site_116,"East Arjun Nagar, Delhi - CPCB",2020,,,20.46254522464972,,53.98830253662643,37.89988793236281
22,Delhi,Delhi,site_117,"ITO, Delhi - CPCB",2019,110.4523152382536,174.28180940696552,8.917333798169514,1.5291380506954486,37.66304887678376,22.11854267796678
23,Delhi,Delhi,site_117,"ITO, Delhi - CPCB",2020,115.02904148250369,163.5860888454568,12.481838110870234,2.3006339791764785,32.254937533951356,26.356058404344612
24,Delhi,Delhi,site_118,"DTU, Delhi - CPCB",2019,119.32935323307996,229.70948024840314,11.42748282795455,1.1657267489812655,48.458286586607926,45.54770716246353
25,Delhi,Delhi,site_118,"DTU, Delhi - CPCB",2020,109.66482017088752,203.30682355673375,8.68998601696139,0.9409085975266747,32.99530966284927,57.45038896498708
26,Delhi,Delhi,site_119,"Sirifort, Delhi - CPCB",2019,110.10104472128414,278.90346540146925,9.143704356439601,1.4273362847724234,54.33863108256317,44.455558661928904
27,Delhi,Delhi,site_119,"Sirifort, Delhi - CPCB",2020,91.61209750508777,180.50679899484118,12.78661692228121,1.2626348379880024,39.87805387374025,
28,Delhi,Delhi,site_122,"Mandir Marg, Delhi - DPCC",2019,104.31587133776185,199.45195251030617,6.3688660747629715,1.1230284312669359,53.04154725581105,16.8082426058279
29,Delhi,Delhi,site_122,"Mandir Marg, Delhi - DPCC",2020,88.50845972382484,148.21810043957407,15.043395958842401,,41.782695124388155,13.438737673579132
30,Delhi,Delhi,site_124,"R K Puram, Delhi - DPCC",2019,,214.2803002878913,9.581008029387116,,52.359411695520535,36.96040820069569
31,Delhi,Delhi,site_124,"R K Puram, Delhi - DPCC",2020,92.46375564654024,167.79417767434455,13.595502303514863,,40.054050868336056,34.11616334033323
32,Delhi,Delhi,site_125,"Punjabi Bagh, Delhi - DPCC",2019,107.0114039244694,206.9719775334977,19.16294667622138,1.7447863904331051,59.32325055137797,24.036173997913888
33,Delhi,Delhi,site_125,"Punjabi Bagh, Delhi - DPCC",2020,105.97851991376506,183.48544425138732,15.432107889309279,,51.83291143886494,26.74942821682402
34,Delhi,Delhi,site_1420,"Ashok Vihar, Delhi - DPCC",2019,121.41523555015685,225.13305549152074,19.33802454481482,1.4578616217237226,49.03968424312153,36.84915081837293
35,Delhi,Delhi,site_1420,"Ashok Vihar, Delhi - DPCC",2020,102.32101220313824,187.03037506320908,17.759404978001374,,36.37268846629666,35.2590409581074
36,Delhi,Delhi,site_1421,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2019,99.46609675192167,193.94213788556826,14.646120287538826,1.267092984015582,43.09831913273446,19.938127332569877
37,Delhi,Delhi,site_1421,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2020,84.45530252653063,165.84080581543594,13.808357277162552,,46.79485148018506,60.517365421070146
38,Delhi,Delhi,site_1422,"Dwarka-Sector 8, Delhi - DPCC ",2019,110.1296931388098,294.13611951399736,19.887281730947976,1.6265182067879487,42.28810652431906,38.86185360729677
39,Delhi,Delhi,site_1422,"Dwarka-Sector 8, Delhi - DPCC ",2020,101.60857899800236,217.2247048724824,13.433917862748855,,44.44785705695066,41.75172701998146
40,Delhi,Delhi,site_1423,"Jahangirpuri, Delhi - DPCC",2019,129.92518718656427,253.64714916519654,18.810105515199304,1.7603746063171855,64.62459887797793,36.71195861385318
41,Delhi,Delhi,site_1423,"Jahangirpuri, Delhi - DPCC",2020,125.14744319070972,228.09098714165302,6.68670593501935,,69.34445566974264,18.33635240870534
